100  0.000022  0.000027 581.350000 625.600000 1307.300000 1316.750000
200  0.000047  0.000057 1361.150000 1449.450000 3104.500000 3122.500000
300  0.000073  0.000088 2215.600000 2359.400000 5093.700000 5127.900000
400  0.000085  0.000098 3110.750000 3296.250000 7180.400000 7229.250000
500  0.000143  0.000164 4035.200000 4283.350000 9372.500000 9452.800000
600  0.000140  0.000163 5015.350000 5312.950000 11643.800000 11740.850000
700  0.000163  0.000184 6016.450000 6365.450000 13984.450000 14089.200000
800  0.000186  0.000215 7028.100000 7439.300000 16364.750000 16509.100000
900  0.000204  0.000230 8056.150000 8524.400000 18807.100000 18963.150000
1000  0.000223  0.000251 9081.250000 9592.900000 21274.200000 21431.900000
1100  0.000250  0.000279 10150.550000 10717.450000 23765.700000 23954.550000
1200  0.000274  0.000308 11229.700000 11850.250000 26292.650000 26496.650000
1300  0.000300  0.000335 12335.800000 13003.000000 28878.550000 29099.350000
1400  0.000353  0.000390 13434.450000 14181.000000 31486.300000 31744.750000
1500  0.000357  0.000394 14541.050000 15311.350000 34111.300000 34342.150000
1600  0.000386  0.000425 15647.200000 16467.700000 36724.600000 36989.750000
1700  0.000426  0.000478 16776.850000 17661.850000 39385.500000 39682.150000
1800  0.000467  0.000516 17910.250000 18850.600000 42120.950000 42434.400000
1900  0.000500  0.000557 19031.200000 20031.100000 44791.700000 45120.700000
2000  0.000494  0.000543 20164.700000 21193.150000 47518.350000 47837.000000
2100  0.000527  0.000569 21317.550000 22424.000000 50273.400000 50654.150000
2200  0.000551  0.000605 22489.050000 23648.850000 53009.800000 53410.650000
2300  0.000572  0.000626 23670.450000 24868.600000 55790.000000 56185.950000
2400  0.000641  0.000706 24865.900000 26152.850000 58598.250000 59047.900000
2500  0.000788  0.000876 26052.050000 27350.000000 61395.450000 61815.400000
2600  0.000864  0.000965 27247.300000 28595.500000 64214.800000 64646.450000
2700  0.000850  0.000937 28443.750000 29853.650000 67046.000000 67517.800000
2800  0.000737  0.000796 29656.850000 31108.900000 69908.150000 70386.950000
2900  0.000749  0.000807 30865.000000 32410.250000 72813.250000 73333.950000
3000  0.000802  0.000851 32098.550000 33655.450000 75731.150000 76223.900000
3100  0.000822  0.000879 33290.250000 34924.250000 78604.800000 79154.800000
3200  0.000834  0.000911 34497.250000 36185.500000 81458.950000 82045.700000
3300  0.000901  0.000981 35722.550000 37468.950000 84384.500000 84988.550000
3400  0.000916  0.000982 36968.950000 38754.250000 87355.100000 87933.100000
3500  0.000923  0.000995 38179.800000 40011.000000 90237.350000 90828.600000
3600  0.000972  0.001035 39413.150000 41328.750000 93228.450000 93869.900000
3700  0.000997  0.001063 40641.050000 42582.600000 96146.500000 96772.000000
3800  0.001022  0.001102 41858.900000 43862.050000 99073.150000 99747.700000
3900  0.001049  0.001144 43091.100000 45154.150000 102046.500000 102756.500000
4000  0.001086  0.001158 44329.300000 46462.450000 105074.500000 105808.950000
4100  0.001196  0.001262 45539.250000 47720.450000 108021.450000 108771.400000
4200  0.001148  0.001222 46828.850000 49061.750000 111034.700000 111778.500000
4300  0.001219  0.001273 48113.850000 50412.450000 114048.900000 114835.000000
4400  0.001204  0.001307 49360.650000 51678.200000 116972.450000 117778.150000
4500  0.001249  0.001335 50630.750000 52993.700000 119957.000000 120796.500000
4600  0.001426  0.001552 51931.200000 54338.600000 123026.250000 123849.950000
4700  0.001556  0.001640 53238.950000 55746.150000 126123.900000 126965.100000
4800  0.001335  0.001430 54509.900000 57059.950000 129124.600000 130023.800000
4900  0.001435  0.001564 55791.900000 58369.200000 132174.250000 133049.000000
5000  0.001457  0.001548 57096.550000 59739.000000 135254.300000 136151.450000
5100  0.001436  0.001530 58392.250000 61106.600000 138368.800000 139312.800000
5200  0.001468  0.001554 59696.550000 62426.000000 141444.500000 142369.250000
5300  0.001501  0.001591 61014.450000 63847.650000 144577.400000 145564.650000
5400  0.001518  0.001628 62292.500000 65164.500000 147580.000000 148606.050000
5500  0.001607  0.001687 63618.500000 66510.850000 150737.850000 151691.150000
5600  0.001586  0.001688 64900.350000 67885.500000 153832.000000 154885.850000
5700  0.001622  0.001707 66225.250000 69274.850000 156952.100000 158011.050000
5800  0.001639  0.001739 67545.550000 70605.900000 160112.550000 161136.400000
5900  0.001777  0.001871 68838.900000 71965.750000 163217.000000 164280.400000
6000  0.001713  0.001827 70143.100000 73340.600000 166341.100000 167453.650000
6100  0.001743  0.001838 71454.900000 74668.300000 169535.150000 170621.150000
6200  0.001761  0.001878 72761.850000 76055.250000 172657.850000 173798.300000
6300  0.001793  0.001913 74083.200000 77436.350000 175783.000000 176935.850000
6400  0.002050  0.002177 75401.200000 78810.400000 178946.600000 180121.250000
6500  0.001933  0.002005 76777.100000 80249.750000 182170.550000 183314.050000
6600  0.001897  0.002008 78046.300000 81548.550000 185226.650000 186423.400000
6700  0.001924  0.002053 79367.300000 82896.850000 188346.650000 189538.250000
6800  0.001972  0.002082 80682.200000 84338.800000 191539.450000 192836.550000
6900  0.002278  0.002420 82003.250000 85670.600000 194681.200000 195918.700000
7000  0.002236  0.002382 83329.400000 87042.200000 197905.150000 199150.300000
7100  0.002179  0.002293 84649.700000 88432.600000 201068.550000 202398.850000
7200  0.002144  0.002239 85969.100000 89821.450000 204246.850000 205605.850000
7300  0.002134  0.002255 87305.900000 91171.150000 207505.850000 208820.350000
7400  0.002253  0.002362 88643.900000 92578.950000 210707.900000 212032.050000
7500  0.002368  0.002496 89966.750000 93966.650000 213888.250000 215277.700000
7600  0.002451  0.002567 91306.550000 95388.550000 217114.700000 218568.150000
7700  0.002421  0.002510 92611.350000 96711.650000 220310.450000 221733.950000
7800  0.002327  0.002391 93937.300000 98079.500000 223511.100000 224950.250000
7900  0.002359  0.002481 95309.050000 99524.800000 226831.300000 228274.850000
8000  0.002527  0.002672 96648.850000 100884.200000 230109.100000 231523.750000
8100  0.002590  0.002715 97956.100000 102264.600000 233312.050000 234811.900000
8200  0.002499  0.002644 99312.650000 103706.450000 236640.750000 238166.050000
8300  0.002459  0.002585 100653.650000 105052.300000 239777.850000 241258.400000
8400  0.002647  0.002793 102042.500000 106506.550000 243004.800000 244518.450000
8500  0.002698  0.002886 103424.250000 107962.550000 246247.500000 247847.600000
8600  0.002752  0.002890 104797.900000 109374.650000 249493.750000 251021.850000
8700  0.002642  0.002806 106175.800000 110827.700000 252799.500000 254404.700000
8800  0.002632  0.002740 107544.200000 112208.500000 256016.050000 257627.450000
8900  0.002693  0.002764 108933.800000 113682.750000 259289.150000 260905.300000
9000  0.002709  0.002795 110292.800000 115037.300000 262524.350000 264108.200000
9100  0.002812  0.002937 111712.100000 116552.700000 265896.400000 267542.400000
9200  0.002764  0.002921 113085.400000 117975.450000 269199.250000 270887.700000
9300  0.002782  0.002919 114476.700000 119414.100000 272423.150000 274099.350000
9400  0.002806  0.003009 115838.700000 120860.700000 275656.900000 277368.400000
