100  0.000009  0.000031 378.100000 378.100000 712.200000 711.200000
200  0.000018  0.000037 929.450000 929.450000 1699.100000 1698.100000
300  0.000030  0.000049 1517.900000 1517.900000 2808.000000 2807.000000
400  0.000041  0.000060 2239.850000 2239.850000 3986.300000 3985.300000
500  0.000052  0.000071 2766.750000 2766.750000 5149.350000 5148.350000
600  0.000066  0.000087 3235.150000 3235.150000 6194.800000 6193.800000
700  0.000082  0.000105 4183.000000 4183.000000 7722.850000 7721.850000
800  0.000094  0.000117 4657.700000 4657.700000 8980.150000 8979.150000
900  0.000107  0.000131 5325.700000 5325.700000 10201.450000 10200.450000
1000  0.000122  0.000146 6220.450000 6220.450000 11604.650000 11603.650000
1100  0.000135  0.000159 6604.650000 6604.650000 12875.050000 12874.050000
1200  0.000150  0.000173 7571.350000 7571.350000 14213.300000 14212.300000
1300  0.000166  0.000188 8550.050000 8550.050000 16037.850000 16036.850000
1400  0.000179  0.000201 8981.050000 8981.050000 17079.950000 17078.950000
1500  0.000192  0.000216 9675.050000 9675.050000 18654.950000 18653.950000
1600  0.000210  0.000233 10392.200000 10392.200000 20084.900000 20083.900000
1700  0.000213  0.000231 11609.900000 11609.900000 21585.500000 21584.500000
1800  0.000219  0.000236 11867.150000 11867.150000 22962.000000 22961.000000
1900  0.000233  0.000251 12697.400000 12697.400000 24494.600000 24493.600000
2000  0.000256  0.000279 14149.350000 14149.350000 26224.050000 26223.050000
2100  0.000268  0.000287 14141.400000 14141.400000 27718.950000 27717.950000
2200  0.000275  0.000294 15391.300000 15391.300000 29015.650000 29014.650000
2300  0.000290  0.000311 15991.850000 15991.850000 30419.800000 30418.800000
2400  0.000304  0.000325 17224.000000 17224.000000 32663.150000 32662.150000
2500  0.000321  0.000339 18152.300000 18152.300000 34563.950000 34562.950000
2600  0.000333  0.000352 19038.300000 19038.300000 35586.400000 35585.400000
2700  0.000344  0.000365 19245.200000 19245.200000 36300.000000 36299.000000
2800  0.000360  0.000381 20022.600000 20022.600000 38354.850000 38353.850000
2900  0.000376  0.000396 21409.850000 21409.850000 39798.900000 39797.900000
3000  0.000389  0.000409 21330.000000 21330.000000 40724.750000 40723.750000
3100  0.000406  0.000426 23280.650000 23280.650000 43028.100000 43027.100000
3200  0.000452  0.000476 23947.650000 23947.650000 44108.050000 44107.050000
3300  0.000439  0.000467 24702.700000 24702.700000 46337.800000 46336.800000
3400  0.000450  0.000472 25536.400000 25536.400000 47562.450000 47561.450000
3500  0.000464  0.000484 25506.750000 25506.750000 48753.450000 48752.450000
3600  0.000478  0.000503 26065.800000 26065.800000 50258.250000 50257.250000
3700  0.000496  0.000514 28162.550000 28162.550000 52650.850000 52649.850000
3800  0.000508  0.000531 28539.100000 28539.100000 54076.900000 54075.900000
3900  0.000523  0.000543 29213.950000 29213.950000 56185.700000 56184.700000
4000  0.000537  0.000556 30269.050000 30269.050000 56292.000000 56291.000000
4100  0.000554  0.000577 32378.800000 32378.800000 59194.350000 59193.350000
4200  0.000571  0.000593 31469.600000 31469.600000 61693.400000 61692.400000
4300  0.000662  0.000705 32866.350000 32866.350000 63100.650000 63099.650000
4400  0.000808  0.000866 35571.750000 35571.750000 64776.400000 64775.400000
4500  0.000797  0.000851 34630.900000 34630.900000 65760.000000 65759.000000
4600  0.000811  0.000831 34953.000000 34953.000000 66439.900000 66438.900000
4700  0.000755  0.000788 36978.350000 36978.350000 69269.450000 69268.450000
4800  0.000687  0.000712 37499.700000 37499.700000 70670.250000 70669.250000
4900  0.000680  0.000704 38809.650000 38809.650000 71896.900000 71895.900000
5000  0.000693  0.000717 39772.300000 39772.300000 74946.450000 74945.450000
5100  0.000715  0.000740 40963.950000 40963.950000 76602.750000 76601.750000
5200  0.000732  0.000763 41747.950000 41747.950000 77873.450000 77872.450000
5300  0.000753  0.000776 42082.100000 42082.100000 80015.550000 80014.550000
5400  0.000757  0.000785 43059.800000 43059.800000 81619.100000 81618.100000
5500  0.000787  0.000821 44156.750000 44156.750000 82744.300000 82743.300000
5600  0.000816  0.000858 43877.950000 43877.950000 83389.750000 83388.750000
5700  0.000800  0.000825 45346.500000 45346.500000 85904.050000 85903.050000
5800  0.000838  0.000860 45938.800000 45938.800000 88127.750000 88126.750000
5900  0.000847  0.000877 46564.450000 46564.450000 89170.650000 89169.650000
6000  0.000851  0.000879 49746.900000 49746.900000 91894.300000 91893.300000
6100  0.000858  0.000879 47828.650000 47828.650000 92875.350000 92874.350000
6200  0.000886  0.000904 49650.850000 49650.850000 93569.450000 93568.450000
6300  0.000896  0.000919 51943.200000 51943.200000 96796.650000 96795.650000
6400  0.000911  0.000935 52647.050000 52647.050000 99528.150000 99527.150000
6500  0.001001  0.001044 51731.150000 51731.150000 99924.550000 99923.550000
6600  0.000944  0.000972 52403.150000 52403.150000 100582.000000 100581.000000
6700  0.001109  0.001144 56596.900000 56596.900000 103750.400000 103749.400000
6800  0.000972  0.001004 55893.900000 55893.900000 105936.650000 105935.650000
6900  0.000994  0.001013 56296.450000 56296.450000 106941.450000 106940.450000
7000  0.001147  0.001186 58335.250000 58335.250000 108420.000000 108419.000000
7100  0.001029  0.001057 58478.000000 58478.000000 108764.500000 108763.500000
7200  0.001050  0.001083 58365.350000 58365.350000 112216.000000 112215.000000
7300  0.001089  0.001125 60654.300000 60654.300000 114587.450000 114586.450000
7400  0.001082  0.001107 63312.850000 63312.850000 117130.400000 117129.400000
7500  0.001090  0.001130 62165.750000 62165.750000 118628.300000 118627.300000
7600  0.001142  0.001179 64064.300000 64064.300000 119799.400000 119798.400000
