100  0.000039  0.000037 13440.000000 14000.000000 26273.000000 26160.000000
200  0.000077  0.000068 30880.000000 32000.000000 60532.000000 60097.000000
300  0.000108  0.000101 49760.000000 54000.000000 97689.000000 102047.000000
400  0.000191  0.000182 69760.000000 72000.000000 136997.000000 136184.000000
500  0.000311  0.000279 89760.000000 90000.000000 176882.000000 168221.000000
600  0.000388  0.000357 111520.000000 120000.000000 219337.000000 227803.000000
700  0.000463  0.000414 133520.000000 140000.000000 262529.000000 264156.000000
800  0.000543  0.000479 155520.000000 160000.000000 305891.000000 303988.000000
900  0.000479  0.000421 177520.000000 180000.000000 349747.000000 341129.000000
1000  0.000458  0.000416 199520.000000 200000.000000 393695.000000 376163.000000
1100  0.000514  0.000463 223040.000000 242000.000000 439745.000000 464063.000000
1200  0.000504  0.000457 247040.000000 264000.000000 486819.000000 503578.000000
1300  0.000506  0.000470 271040.000000 286000.000000 533879.000000 545960.000000
1400  0.000558  0.000509 295040.000000 308000.000000 580891.000000 583994.000000
1500  0.000619  0.000531 319040.000000 330000.000000 628425.000000 624045.000000
1600  0.000647  0.000572 343040.000000 352000.000000 675786.000000 672066.000000
1700  0.000718  0.000652 367040.000000 374000.000000 723538.000000 711436.000000
1800  0.000812  0.000716 391040.000000 396000.000000 771317.000000 753825.000000
1900  0.000766  0.000675 415040.000000 418000.000000 819092.000000 791882.000000
2000  0.000794  0.000720 439040.000000 440000.000000 867266.000000 831982.000000
2100  0.000833  0.000781 464080.000000 504000.000000 916790.000000 972641.000000
2200  0.000965  0.000872 490080.000000 528000.000000 967355.000000 1015714.000000
2300  0.000926  0.000855 516080.000000 552000.000000 1018422.000000 1056727.000000
2400  0.000961  0.000896 542080.000000 576000.000000 1069129.000000 1102513.000000
2500  0.001068  0.000969 568080.000000 600000.000000 1120233.000000 1145626.000000
2600  0.001043  0.000954 594080.000000 624000.000000 1171417.000000 1195609.000000
2700  0.001097  0.000986 620080.000000 648000.000000 1222417.000000 1238797.000000
2800  0.001152  0.001045 646080.000000 672000.000000 1273796.000000 1280170.000000
2900  0.001377  0.001206 672080.000000 696000.000000 1325369.000000 1325542.000000
3000  0.001395  0.001208 698080.000000 720000.000000 1376192.000000 1367518.000000
3100  0.001278  0.001142 724080.000000 744000.000000 1427982.000000 1428645.000000
3200  0.001343  0.001206 750080.000000 768000.000000 1479536.000000 1471910.000000
3300  0.001378  0.001218 776080.000000 792000.000000 1531571.000000 1512903.000000
3400  0.001436  0.001277 802080.000000 816000.000000 1582981.000000 1558439.000000
3500  0.001806  0.001542 828080.000000 840000.000000 1635121.000000 1600947.000000
3600  0.001718  0.001528 854080.000000 864000.000000 1686435.000000 1651404.000000
3700  0.001541  0.001378 880080.000000 888000.000000 1738661.000000 1692510.000000
3800  0.001619  0.001431 906080.000000 912000.000000 1790446.000000 1735778.000000
3900  0.001646  0.001448 932080.000000 936000.000000 1842639.000000 1780662.000000
4000  0.001750  0.001536 958080.000000 960000.000000 1894455.000000 1823703.000000
4100  0.001906  0.001834 984160.000000 1066000.000000 1946562.000000 2069095.000000
4200  0.001755  0.001630 1012160.000000 1092000.000000 2001353.000000 2113045.000000
